Dig1,Down1,Up1,Dig2,Down2,Up2,Dig3,Down3,Up3,Dig4,Down4,Up4,Dig5,Down5,Up5,Dig6,Down6,Up6,MeansOfAll,MeansOfDowns,MeansOfUps,MeansOfPress,Tag
9,0,44,6,812,889,0,1790,1875,4,2589,2698,3,3269,3366,0,3795,3881,2084,2042.5,2125.5,83,Reject
1,0,81,5,730,826,0,1277,1374,7,2001,2087,3,2494,2558,0,2910,2986,1610.333333,1568.666667,1652,83.33333333,Reject
1,0,60,6,752,828,0,1223,1321,7,1749,1826,3,2166,2252,0,2726,2802,1475.416667,1436,1514.833333,78.83333333,Reject
1,0,86,6,197,283,0,1096,1193,7,1610,1708,3,2265,2355,0,2972,3057,1401.833333,1356.666667,1447,90.33333333,Reject
1,0,84,6,446,533,0,985,1092,7,1303,1399,3,1851,1947,0,2597,2638,1239.583333,1197,1282.166667,85.16666667,Reject
1,0,76,6,340,427,0,4270,4334,7,4456,4532,3,4841,4937,0,5553,5660,3285.5,3243.333333,3327.666667,84.33333333,Reject
1,0,106,6,383,490,0,1787,1893,7,2332,2419,3,3276,3394,0,4046,4151,2023.083333,1970.666667,2075.5,104.8333333,Reject
1,0,66,6,449,536,0,1744,1863,7,2159,2236,3,2601,2685,0,3327,3431,1758.083333,1713.333333,1802.833333,89.5,Reject
1,0,72,6,439,523,0,1029,1114,7,1498,1585,3,1927,2013,0,2805,2890,1324.583333,1283,1366.166667,83.16666667,Reject
1,0,76,6,573,656,0,1249,1359,7,1787,1874,3,2248,2345,0,3299,3387,1571.083333,1526,1616.166667,90.16666667,Reject
1,0,97,6,416,502,0,847,930,7,1238,1336,3,1645,1742,0,2283,2381,1118.083333,1071.5,1164.666667,93.16666667,Reject
1,0,88,6,341,416,0,639,745,7,822,910,3,1108,1194,0,1590,1698,795.9166667,750,841.8333333,91.83333333,Reject
1,0,75,6,263,349,0,690,777,7,974,1061,3,1270,1346,0,1626,1730,846.75,803.8333333,889.6666667,85.83333333,Reject
1,0,76,6,230,317,0,856,942,7,1030,1117,3,1359,1435,0,1732,1829,910.25,867.8333333,952.6666667,84.83333333,Reject
1,0,85,6,261,349,0,710,808,7,907,994,3,1170,1275,0,1532,1619,809.1666667,763.3333333,855,91.66666667,Reject
1,0,87,6,209,318,0,811,910,7,976,1073,3,1272,1381,0,1820,1918,897.9166667,848,947.8333333,99.83333333,Reject
1,0,62,6,240,326,0,856,950,7,1031,1127,3,1491,1564,0,1828,1925,950,907.6666667,992.3333333,84.66666667,Reject
1,0,65,6,187,273,0,529,635,7,735,844,3,1385,1457,0,1711,1819,803.3333333,757.8333333,848.8333333,91,Reject
1,0,86,6,296,393,0,679,765,7,810,908,3,1118,1214,0,1786,1894,829.0833333,781.5,876.6666667,95.16666667,Reject
1,0,805,6,1300,2198,0,2813,3482,7,3910,4041,3,4481,4622,0,4955,5061,3139,2909.833333,3368.166667,458.3333333,Reject
1,0,613,6,1636,1722,0,2578,2698,7,3424,3521,3,4477,4958,0,5545,5891,3088.583333,2943.333333,3233.833333,290.5,Reject
1,0,942,6,2057,2861,0,3488,3893,7,4311,4430,3,4661,4792,0,5035,5154,3468.666667,3258.666667,3678.666667,420,Reject
1,0,152,6,836,1315,0,1777,1929,7,2281,2400,3,2544,2642,0,2964,3093,1827.75,1733.666667,1921.833333,188.1666667,Reject
1,0,524,6,1022,1117,0,1843,1950,7,2514,2598,3,2939,3036,0,3544,3683,2064.166667,1977,2151.333333,174.3333333,Reject
1,0,284,6,782,942,0,1713,1842,7,2688,2807,3,3479,3619,0,4401,5024,2298.416667,2177.166667,2419.666667,242.5,Reject
1,0,118,6,758,920,0,1184,1720,7,2402,2509,3,2831,2949,0,3335,4160,1907.166667,1751.666667,2062.666667,311,Reject
1,0,84,6,832,940,0,1514,1621,7,2368,2465,3,3865,3958,0,4511,4573,2227.583333,2181.666667,2273.5,91.83333333,Reject
1,0,131,6,494,614,0,977,1096,7,1448,1546,3,1888,2018,0,2788,2852,1321,1265.833333,1376.166667,110.3333333,Reject
1,0,108,6,329,438,0,989,1096,7,1613,1712,3,2064,2183,0,2556,2666,1312.833333,1258.5,1367.166667,108.6666667,Reject
1,0,104,6,690,772,0,1335,1430,7,2038,2121,3,2662,2723,0,3252,3337,1705.333333,1662.833333,1747.833333,85,Authorize
1,0,84,6,735,819,0,1303,1410,7,1861,1936,3,2344,2407,0,3090,3154,1595.25,1555.5,1635,79.5,Authorize
1,0,85,6,613,687,0,1337,1444,7,1950,2036,3,2464,2550,0,3088,3175,1619.083333,1575.333333,1662.833333,87.5,Authorize
1,0,108,6,690,754,0,1329,1412,7,1994,2058,3,2587,2650,0,3287,3362,1685.916667,1647.833333,1724,76.16666667,Authorize
1,0,75,6,618,690,0,1207,1281,7,1787,1863,3,2291,2356,0,2873,2960,1500.083333,1462.666667,1537.5,74.83333333,Authorize
1,0,99,6,592,667,0,1205,1292,7,1786,1861,3,2335,2399,0,2970,3045,1520.916667,1481.333333,1560.5,79.16666667,Authorize
1,0,86,6,580,655,0,1294,1369,7,1888,1960,3,2421,2497,0,3080,3154,1582,1543.833333,1620.166667,76.33333333,Authorize
1,0,74,6,568,644,0,1216,1291,7,1820,1894,3,2434,2496,0,3188,3253,1573.166667,1537.666667,1608.666667,71,Authorize
1,0,76,6,648,733,0,1316,1402,7,1963,2038,3,2456,2520,0,3156,3210,1626.5,1589.833333,1663.166667,73.33333333,Authorize
1,0,63,6,646,721,0,1383,1455,7,2015,2102,3,2641,2715,0,3363,3417,1710.083333,1674.666667,1745.5,70.83333333,Authorize
1,0,73,6,603,687,0,1225,1301,7,1916,1980,3,2553,2616,0,3341,3405,1641.666667,1606.333333,1677,70.66666667,Authorize
1,0,75,6,614,700,0,1315,1390,7,1985,2069,3,2620,2661,0,3386,3450,1688.75,1653.333333,1724.166667,70.83333333,Authorize
1,0,65,6,668,733,0,1359,1445,7,2039,2102,3,2642,2705,0,3374,3439,1714.25,1680.333333,1748.166667,67.83333333,Authorize
1,0,97,6,724,789,0,1523,1610,7,2258,2333,3,3232,3308,0,4396,4448,2059.833333,2022.166667,2097.5,75.33333333,Authorize
1,0,86,6,602,677,0,1249,1324,7,1963,2036,3,2673,2749,0,3407,3461,1685.583333,1649,1722.166667,73.16666667,Authorize
1,0,76,6,900,975,0,1667,1731,7,2378,2454,3,3126,3200,0,3913,3967,2032.25,1997.333333,2067.166667,69.83333333,Authorize
1,0,76,6,690,766,0,1414,1500,7,2072,2148,3,2641,2718,0,3376,3462,1738.583333,1698.833333,1778.333333,79.5,Authorize
1,0,87,6,735,799,0,1446,1534,7,2162,2257,3,2862,2937,0,3509,3595,1826.916667,1785.666667,1868.166667,82.5,Authorize
1,0,88,6,669,744,0,1413,1500,7,2160,2234,3,2685,2771,0,3409,3484,1763.083333,1722.666667,1803.5,80.83333333,Authorize
