Dig1,Down1,Up1,Dig2,Down2,Up2,Dig3,Down3,Up3,Dig4,Down4,Up4,Dig5,Down5,Up5,Dig6,Down6,Up6,MeansOfAll,MeansOfDowns,MeansOfUps,MeansOfPress,Tag
9,0,44,6,812,889,0,1790,1875,4,2589,2698,3,3269,3366,0,3795,3881,2084,2042.5,2125.5,83,Reject
1,0,81,5,730,826,0,1277,1374,7,2001,2087,3,2494,2558,0,2910,2986,1610.333333,1568.666667,1652,83.33333333,Reject
1,0,60,6,752,828,0,1223,1321,7,1749,1826,3,2166,2252,0,2726,2802,1475.416667,1436,1514.833333,78.83333333,Reject
1,0,86,6,197,283,0,1096,1193,7,1610,1708,3,2265,2355,0,2972,3057,1401.833333,1356.666667,1447,90.33333333,Reject
1,0,84,6,446,533,0,985,1092,7,1303,1399,3,1851,1947,0,2597,2638,1239.583333,1197,1282.166667,85.16666667,Reject
1,0,76,6,340,427,0,4270,4334,7,4456,4532,3,4841,4937,0,5553,5660,3285.5,3243.333333,3327.666667,84.33333333,Reject
1,0,106,6,383,490,0,1787,1893,7,2332,2419,3,3276,3394,0,4046,4151,2023.083333,1970.666667,2075.5,104.8333333,Reject
1,0,66,6,449,536,0,1744,1863,7,2159,2236,3,2601,2685,0,3327,3431,1758.083333,1713.333333,1802.833333,89.5,Reject
1,0,72,6,439,523,0,1029,1114,7,1498,1585,3,1927,2013,0,2805,2890,1324.583333,1283,1366.166667,83.16666667,Reject
1,0,76,6,573,656,0,1249,1359,7,1787,1874,3,2248,2345,0,3299,3387,1571.083333,1526,1616.166667,90.16666667,Reject
1,0,97,6,416,502,0,847,930,7,1238,1336,3,1645,1742,0,2283,2381,1118.083333,1071.5,1164.666667,93.16666667,Reject
1,0,88,6,341,416,0,639,745,7,822,910,3,1108,1194,0,1590,1698,795.9166667,750,841.8333333,91.83333333,Reject
1,0,75,6,263,349,0,690,777,7,974,1061,3,1270,1346,0,1626,1730,846.75,803.8333333,889.6666667,85.83333333,Reject
1,0,76,6,230,317,0,856,942,7,1030,1117,3,1359,1435,0,1732,1829,910.25,867.8333333,952.6666667,84.83333333,Reject
1,0,85,6,261,349,0,710,808,7,907,994,3,1170,1275,0,1532,1619,809.1666667,763.3333333,855,91.66666667,Reject
1,0,87,6,209,318,0,811,910,7,976,1073,3,1272,1381,0,1820,1918,897.9166667,848,947.8333333,99.83333333,Reject
1,0,62,6,240,326,0,856,950,7,1031,1127,3,1491,1564,0,1828,1925,950,907.6666667,992.3333333,84.66666667,Reject
1,0,65,6,187,273,0,529,635,7,735,844,3,1385,1457,0,1711,1819,803.3333333,757.8333333,848.8333333,91,Reject
1,0,86,6,296,393,0,679,765,7,810,908,3,1118,1214,0,1786,1894,829.0833333,781.5,876.6666667,95.16666667,Reject
1,0,805,6,1300,2198,0,2813,3482,7,3910,4041,3,4481,4622,0,4955,5061,3139,2909.833333,3368.166667,458.3333333,Reject
1,0,613,6,1636,1722,0,2578,2698,7,3424,3521,3,4477,4958,0,5545,5891,3088.583333,2943.333333,3233.833333,290.5,Reject
1,0,942,6,2057,2861,0,3488,3893,7,4311,4430,3,4661,4792,0,5035,5154,3468.666667,3258.666667,3678.666667,420,Reject
1,0,152,6,836,1315,0,1777,1929,7,2281,2400,3,2544,2642,0,2964,3093,1827.75,1733.666667,1921.833333,188.1666667,Reject
1,0,524,6,1022,1117,0,1843,1950,7,2514,2598,3,2939,3036,0,3544,3683,2064.166667,1977,2151.333333,174.3333333,Reject
1,0,284,6,782,942,0,1713,1842,7,2688,2807,3,3479,3619,0,4401,5024,2298.416667,2177.166667,2419.666667,242.5,Reject
1,0,118,6,758,920,0,1184,1720,7,2402,2509,3,2831,2949,0,3335,4160,1907.166667,1751.666667,2062.666667,311,Reject
1,0,84,6,832,940,0,1514,1621,7,2368,2465,3,3865,3958,0,4511,4573,2227.583333,2181.666667,2273.5,91.83333333,Reject
1,0,131,6,494,614,0,977,1096,7,1448,1546,3,1888,2018,0,2788,2852,1321,1265.833333,1376.166667,110.3333333,Reject
1,0,108,6,329,438,0,989,1096,7,1613,1712,3,2064,2183,0,2556,2666,1312.833333,1258.5,1367.166667,108.6666667,Reject
1,0,731,6,1370,1531,0,2465,2529,7,2880,2923,3,3242,3307,0,3757,3833,2380.666667,2285.666667,2475.666667,190,Authorize
1,0,689,6,1492,1598,0,2258,2322,7,2641,2695,3,2980,3045,0,3507,3604,2235.916667,2146.333333,2325.5,179.1666667,Authorize
1,0,690,6,1184,1270,0,1820,1895,7,2236,2278,3,2588,2639,0,3090,3155,1903.75,1819.666667,1987.833333,168.1666667,Authorize
1,0,621,6,1192,1367,0,1964,2014,7,2310,2342,3,2662,2726,0,3165,3241,1967,1882.166667,2051.833333,169.6666667,Authorize
1,0,830,6,1536,1631,0,2104,2157,7,2475,2540,3,2827,2891,0,3353,3438,2148.5,2049.166667,2247.833333,198.6666667,Authorize
1,0,787,6,1479,1587,0,2334,2398,7,2870,2934,3,3287,3351,0,3891,3954,2406,2310.166667,2501.833333,191.6666667,Authorize
1,0,887,6,1525,1653,0,2280,2344,7,2697,2749,3,3103,3166,0,3672,3736,2317.666667,2212.833333,2422.5,209.6666667,Authorize
1,0,820,6,1449,1554,0,2105,2157,7,2718,2793,3,3203,3264,0,3933,3998,2332.833333,2234.666667,2431,196.3333333,Authorize
1,0,896,6,1516,1609,0,2248,2310,7,2805,2858,3,3409,3482,0,3966,4031,2427.5,2324,2531,207,Authorize
1,0,1004,6,1796,1892,0,2497,2560,7,3208,3283,3,3944,4028,0,4909,4982,2841.916667,2725.666667,2958.166667,232.5,Authorize
1,0,799,6,1712,1819,0,2455,2520,7,3038,3090,3,3639,3695,0,4362,4427,2629.666667,2534.333333,2725,190.6666667,Authorize
1,0,1070,6,1577,1728,0,2378,2429,7,2935,2988,3,3483,3558,0,4272,4324,2561.833333,2440.833333,2682.833333,242,Authorize
1,0,628,6,1136,1242,0,1857,1921,7,2318,2371,3,2810,2864,0,3370,3422,1994.916667,1915.166667,2074.666667,159.5,Authorize
1,0,719,6,1358,1431,0,1894,1957,7,2419,2462,3,2902,2966,0,3540,3613,2105.083333,2018.833333,2191.333333,172.5,Authorize
1,0,658,6,1264,1415,0,2088,2170,7,2566,2642,3,2974,3059,0,3587,3661,2173.666667,2079.833333,2267.5,187.6666667,Authorize
1,0,830,6,1293,1379,0,2161,2233,7,2629,2695,3,3135,3210,0,3824,3899,2274,2173.666667,2374.333333,200.6666667,Authorize
1,0,951,6,1447,1574,0,2203,2254,7,2629,2704,3,3090,3175,0,3805,3876,2309,2195.666667,2422.333333,226.6666667,Authorize
1,0,924,6,1499,1647,0,3156,3204,7,3622,3674,3,3995,4059,0,4950,5014,2978.666667,2870.333333,3087,216.6666667,Authorize
1,0,974,6,1833,1985,0,2602,2673,7,3103,3176,3,3596,3693,0,4331,4415,2698.416667,2577.5,2819.333333,241.8333333,Authorize
