Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
normal-all,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,41.0,9.0,8.0,1.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7692307692307692,0.14923747276688457,0.322742407806512,30.39731682146544,64.86301575635237,8.937401837676008,5.15435374779289,3.783048089883118,0.9930446486306675,0.5727059719769878,0.42033867665367974,6.390662817081258,0.7100736463423619,651.5776378840401,1.0,5.0,0.25,1.0,0.75,3.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.7905694150420948,0.875,0.8333333333333334,0.8888888888888888,0.1388888888888889,0.8611111111111112,0.1111111111111111,0.9074074074074076,0.8888888888888888,0.886002886002886,0.7905694150420948,0.875,0.8456790123456791,0.8831168831168831,0.8888888888888888,0.008,0.001,0.0,0.015625,0.0,15.625,4162.0,10842.0,4026.0,88.88888888888889,66.66666666666667,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,41.0,9.0,7.0,2.0,0.0,77.77777777777777,22.22222222222222,0.0,0.55,0.24786324786324787,0.4565254824298681,50.485829959514184,91.75001129004846,8.937401837676008,1078.1623485878208,-1069.224946750145,0.9930446486306675,119.79581650975787,-118.80277186112721,4.513473549041882,0.5014970610046535,460.1836332025356,0.8,4.0,0.25,1.0,0.75,3.0,0.2,1.0,0.8,0.8,0.8000000000000002,0.55,0.775,0.7511111111111112,0.7777777777777778,0.22777777777777775,0.7722222222222223,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777779,0.55,0.7749999999999999,0.7166666666666668,0.7750000000000001,0.7777777777777778,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,10842.0,4026.0,88.88888888888889,77.77777777777777,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,42.0,8.0,8.0,0.0,0.0,100.0,0.0,0.0,1.0,0.06971153846153844,0.07008355642842908,13.942307692307686,13.79062047254406,8.193994070764761,0.8343464872456695,7.3596475835190915,1.0242492588455951,0.10429331090570869,0.9199559479398864,7.359647583519089,0.9199559479398861,754.0462998212004,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,0.0,0.0,0.0,0.0,0.0,4162.0,11055.0,3813.0,100.0,100.0,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,42.0,8.0,8.0,0.0,0.0,100.0,0.0,0.0,1.0,0.07205882352941174,0.07278446162932908,14.920415224913494,14.93180929559704,7.712389459893998,0.863859692339577,6.848529767554421,0.9640486824867498,0.10798246154244713,0.8560662209443026,6.84852976755442,0.8560662209443025,694.1936086070218,1.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,0.0,0.0,0.0,0.0,0.0,4162.0,11055.0,3813.0,100.0,100.0,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,42.0,8.0,7.0,1.0,0.0,87.5,12.5,0.0,0.7142857142857143,0.15972222222222227,0.34155090631549834,33.07189542483662,70.06952972756861,7.712389459893998,5.056889544425818,2.65549991546818,0.9640486824867498,0.6321111930532273,0.3319374894335225,5.274783426797193,0.6593479283496492,534.672559797669,1.0,5.0,0.3333333333333333,1.0,0.6666666666666666,2.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.7453559924999299,0.8333333333333334,0.8333333333333334,0.875,0.20833333333333331,0.7916666666666666,0.125,0.8958333333333334,0.875,0.8681818181818182,0.7453559924999299,0.8333333333333334,0.8177083333333334,0.8545454545454545,0.875,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,11055.0,3813.0,87.5,62.5,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,42.0,8.0,8.0,0.0,0.0,100.0,0.0,0.0,1.0,0.07205882352941174,0.07278446162932908,14.920415224913494,14.93180929559704,7.712389459893998,0.863859692339577,6.848529767554421,0.9640486824867498,0.10798246154244713,0.8560662209443026,6.84852976755442,0.8560662209443025,694.1936086070218,1.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,11055.0,3813.0,100.0,100.0,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,41.0,9.0,8.0,1.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7692307692307692,0.16750000000000004,0.31448701616018,34.11710526315791,63.20389199238791,8.937401837676008,4.52465557153773,4.412746266138278,0.9930446486306675,0.5027395079486366,0.4903051406820309,6.138148371443557,0.6820164857159507,625.8318317400451,1.0,5.0,0.25,1.0,0.75,3.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.7905694150420948,0.875,0.8333333333333334,0.8888888888888888,0.1388888888888889,0.8611111111111112,0.1111111111111111,0.9074074074074076,0.8888888888888888,0.886002886002886,0.7905694150420948,0.875,0.8456790123456791,0.8831168831168831,0.8888888888888888,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,10842.0,4026.0,100.0,100.0,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,41.0,9.0,8.0,1.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7692307692307692,0.14923747276688457,0.322742407806512,30.39731682146544,64.86301575635237,8.937401837676008,5.154353747792889,3.7830480898831187,0.9930446486306675,0.5727059719769877,0.42033867665367985,6.390662817081258,0.7100736463423619,651.5776378840401,1.0,5.0,0.25,1.0,0.75,3.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.7905694150420948,0.875,0.8333333333333334,0.8888888888888888,0.1388888888888889,0.8611111111111112,0.1111111111111111,0.9074074074074076,0.8888888888888888,0.886002886002886,0.7905694150420948,0.875,0.8456790123456791,0.8831168831168831,0.8888888888888888,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,10842.0,4026.0,88.88888888888889,66.66666666666667,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,42.0,8.0,8.0,0.0,0.0,100.0,0.0,0.0,1.0,0.06971153846153844,0.07008355642842908,13.942307692307686,13.79062047254406,8.193994070764761,0.8343464872456695,7.3596475835190915,1.0242492588455951,0.10429331090570869,0.9199559479398864,7.359647583519089,0.9199559479398861,754.0462998212004,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,11055.0,3813.0,100.0,100.0,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,42.0,8.0,7.0,1.0,0.0,87.5,12.5,0.0,0.7142857142857143,0.15972222222222227,0.34155090631549834,33.07189542483662,70.06952972756861,7.712389459893998,5.056889544425818,2.65549991546818,0.9640486824867498,0.6321111930532273,0.3319374894335225,5.274783426797193,0.6593479283496492,534.672559797669,1.0,5.0,0.3333333333333333,1.0,0.6666666666666666,2.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.7453559924999299,0.8333333333333334,0.8333333333333334,0.875,0.20833333333333331,0.7916666666666666,0.125,0.8958333333333334,0.875,0.8681818181818182,0.7453559924999299,0.8333333333333334,0.8177083333333334,0.8545454545454545,0.875,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,11055.0,3813.0,87.5,62.5,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,42.0,8.0,7.0,1.0,0.0,87.5,12.5,0.0,0.75,0.16346153846153844,0.35771298534112067,33.84615384615385,73.38519733613022,7.712389459893998,1074.4619088696797,-1066.7495194097858,0.9640486824867498,134.30773860870997,-133.34368992622322,5.223401056157969,0.6529251320197461,529.4642429028788,0.8,4.0,0.0,0.0,1.0,3.0,0.2,1.0,1.0,0.8,0.888888888888889,0.7745966692414834,0.9,0.925,0.875,0.07500000000000001,0.925,0.125,0.90625,0.875,0.876984126984127,0.7745966692414834,0.9,0.859375,0.873015873015873,0.875,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,11055.0,3813.0,87.5,75.0,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,42.0,8.0,8.0,0.0,0.0,100.0,0.0,0.0,1.0,0.07205882352941174,0.07278446162932908,14.920415224913494,14.93180929559704,7.712389459893998,0.863859692339577,6.848529767554421,0.9640486824867498,0.10798246154244713,0.8560662209443026,6.84852976755442,0.8560662209443025,694.1936086070218,1.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,0.0,0.0,0.0,0.0,0.0,4162.0,11055.0,3813.0,100.0,100.0,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
normal-all,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2 -batch-size 20',-217733168393644444,2.0160730172900002E7,41.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.07222222222222222,0.07274384280931731,14.710526315789473,14.619662331908664,8.937401837676008,0.973908786154485,7.963493051521523,0.9930446486306675,0.10821208735049832,0.8848325612801692,7.963493051521523,0.8848325612801692,811.939878590904,1.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,4162.0,10842.0,4026.0,100.0,100.0,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0,?,?,?,?,?,?,?,?,?,?
